method	path	tier	families	category	summary	where
PUT	/ISAPI/ContentMgmt/FlashStorage/remove/channels/{channelID}	reference	deepinview	People Counting	Clear the people counting data in the flash memory	deepinview:19.5.1.1@p463
GET	/ISAPI/ContentMgmt/ImageProxy/channels	reference	dvr-pro,dvr-value	Video (General)	Get the image parameters of all channels	dvr-pro:12.2.6.2@p168;dvr-value:12.2.6.2@p186
PUT	/ISAPI/ContentMgmt/ImageProxy/channels	reference	dvr-pro,dvr-value	Video (General)	Set the image parameters of all channels	dvr-pro:12.2.6.1@p167;dvr-value:12.2.6.1@p185
GET	/ISAPI/ContentMgmt/ImageProxy/channels/{channelID}	reference	dvr-pro,dvr-value	Video (General)	Get the image parameters of a specified channel	dvr-pro:12.2.6.3@p169;dvr-value:12.2.6.3@p187
PUT	/ISAPI/ContentMgmt/ImageProxy/channels/{channelID}	reference	dvr-pro,dvr-value	Video (General)	Set the image parameters of a specified channel	dvr-pro:12.2.6.4@p170;dvr-value:12.2.6.4@p188
GET	/ISAPI/ContentMgmt/ImageProxy/channels/{channelID}/capabilities	reference	dvr-pro,dvr-value	Video (General)	Get the image parameters capability of a specified channel	dvr-pro:12.2.6.5@p179;dvr-value:12.2.6.5@p197
GET	/ISAPI/ContentMgmt/InputProxy/channels	reference	anpr,deepinview,dvr-pro,dvr-value	Video (General)	Get access parameters of all digital channels	anpr:@p42;deepinview:@p56;dvr-pro:12.2.6.11@p185;dvr-value:12.2.6.12@p202
POST	/ISAPI/ContentMgmt/InputProxy/channels	narrative	dvr-pro,dvr-value	Narrative / Quick Start	2. Add digital channels: POST /ISAPI/ContentMgmt/InputProxy/channels?security=<security>&iv=<iv>.	dvr-pro:@p52;dvr-value:@p52
PUT	/ISAPI/ContentMgmt/InputProxy/channels	reference	dvr-pro,dvr-value	Video (General)	Set parameters of all digital channels	dvr-pro:12.2.6.10@p183;dvr-value:12.2.6.11@p201
GET	/ISAPI/ContentMgmt/InputProxy/channels/activate/capabilities	reference	dvr-pro,dvr-value	Video (General)	Get the capability of activating digital channels	dvr-pro:12.2.6.7@p180;dvr-value:12.2.6.8@p199
GET	/ISAPI/ContentMgmt/InputProxy/channels/capabilities	reference	dvr-pro,dvr-value	Video (General)	Get the digital channel access capability	dvr-pro:12.2.6.8@p180;dvr-value:12.2.6.9@p199
PUT	/ISAPI/ContentMgmt/InputProxy/channels/smartConfig	narrative	dvr-pro,dvr-value	Narrative / Quick Start		dvr-pro:@p181;dvr-value:@p200
PUT	/ISAPI/ContentMgmt/InputProxy/channels/smartConfig/stop	narrative	dvr-pro,dvr-value	Narrative / Quick Start		dvr-pro:@p182;dvr-value:@p200
GET	/ISAPI/ContentMgmt/InputProxy/channels/status	reference	dvr-pro,dvr-value	Video (General)	Get status of all digital channels	dvr-pro:12.2.6.9@p182;dvr-value:12.2.6.10@p200
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/focus	reference	dvr-value	Video (General)	Set the focus control parameters of a specified digital channel	dvr-value:12.2.6.6@p197
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/iris	reference	dvr-pro,dvr-value	Video (General)	Set the iris control parameters of a specified digital channel	dvr-pro:12.2.6.6@p179;dvr-value:12.2.6.7@p198
GET	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays	reference	dvr-pro,dvr-value	Video (General)	Get text overlay parameters of a specific video digital input channel	dvr-pro:12.2.2.1@p135;dvr-value:12.2.2.1@p151
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays	reference	dvr-pro,dvr-value	Video (General)	Set text overlay parameters of a specific video digital input channel	dvr-pro:12.2.2.2@p136;dvr-value:12.2.2.2@p152
GET	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/capabilities	reference	dvr-pro,dvr-value	Video (General)	Get the text overlay configuration capability of a specific video digital input channel	dvr-pro:12.2.2.3@p138;dvr-value:12.2.2.3@p154
GET	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/channelNameOverlay	reference	dvr-pro,dvr-value	Video (General)	Get the channel name overlay parameters of a specified digital channel	dvr-pro:12.2.2.5@p141;dvr-value:12.2.2.5@p156
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/channelNameOverlay	reference	dvr-pro,dvr-value	Video (General)	Set the channel name overlay parameters of a specified digital channel	dvr-pro:12.2.2.4@p140;dvr-value:12.2.2.4@p156
GET	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/dateTimeOverlay	reference	dvr-pro,dvr-value	Video (General)	Get the time information overlay parameters of a specified digital channel	dvr-pro:12.2.2.6@p141;dvr-value:12.2.2.6@p157
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/dateTimeOverlay	reference	dvr-pro,dvr-value	Video (General)	Set the time information overlay parameters of a specified digital channel	dvr-pro:12.2.2.7@p142;dvr-value:12.2.2.7@p157
GET	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/text	reference	dvr-pro,dvr-value	Video (General)	Get all text overlay parameters of a specified digital channel	dvr-pro:12.2.2.8@p142;dvr-value:12.2.2.8@p158
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/text	reference	dvr-pro,dvr-value	Video (General)	Set all text overlay parameters of a specified digital channel	dvr-pro:12.2.2.9@p143;dvr-value:12.2.2.9@p159
GET	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/text/{textID}	reference	dvr-pro,dvr-value	Video (General)	Get the text overlay parameters of the specific digital channel	dvr-pro:12.2.2.10@p144;dvr-value:12.2.2.10@p159
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/text/{textID}	reference	dvr-pro,dvr-value	Video (General)	Set parameters of a specific digital channel	dvr-pro:12.2.2.11@p144;dvr-value:12.2.2.11@p160
GET	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/privacyMask	reference	dvr-pro,dvr-value	Video (General)	Get the privacy mask parameters of a specified digital channel	dvr-pro:12.2.3.1@p160;dvr-value:12.2.3.1@p171
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/privacyMask	reference	dvr-pro,dvr-value	Video (General)	Set the privacy mask parameters of the specified digital channel	dvr-pro:12.2.3.2@p161;dvr-value:12.2.3.2@p172
GET	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/privacyMask/regions	reference	dvr-pro,dvr-value	Video (General)	Get the privacy mask area parameters of a specified digital channel	dvr-pro:12.2.3.3@p162;dvr-value:12.2.3.3@p173
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/privacyMask/regions	reference	dvr-pro,dvr-value	Video (General)	Set parameters of all privacy mask areas of the specified digital channel	dvr-pro:12.2.3.4@p163;dvr-value:12.2.3.4@p174
GET	/ISAPI/ContentMgmt/InputProxy/ipcConfig	reference	dvr-pro,dvr-value	Video (General)	Get the digital channel configuration file	dvr-pro:12.2.6.13@p188;dvr-value:12.2.6.14@p205
PUT	/ISAPI/ContentMgmt/InputProxy/ipcConfig	reference	dvr-pro,dvr-value	Video (General)	Set the digital channel configuration file	dvr-pro:12.2.6.12@p187;dvr-value:12.2.6.13@p204
